EXOAURORA PROXIMA CENTAURI B 5577A OI LINE SEARCH
=================================================

ORIGIN:            http://archive.eso.org/cms.html
NUMBER OF SPECTRA: 319
TOTAL EXP TIME:    69.58 hours

DIRECT LINK 1:     http://archive.eso.org/wdb/wdb/adp/phase3_main/query?wdbo=html%2fdisplay&max_rows_returned=200&cltarget=gl551&resolver=none&wdb_input_file=&coord_sys=eq&coord1=&coord2=&box=02%2009%2000&tab_ra=on&tab_dec=on&tab_filter=on&filter=Any&tab_wavelength=on&wavelength=Any&tab_dataproduct_type=on&dataproduct_type=Any&tel_id=Any&tab_ins_id=on&ins_id=HARPS&obstech=Any&tab_date_obs=on&date_obs=&mjd_obs=&tab_exptime=on&exptime=&multi_ob=%25&tab_collection_name=on&tab_prog_id=on&prog_id=&username=&p3orig=%25&tab_origfile=on&origfile=&tab_dp_id=on&dp_id=&rel_date=&tab_referenc=on&referenc=&batch_id=&publication_date=&wdb_input_file_raw=&order_main=dummy&
DIRECT LINK 2:     http://archive.eso.org/wdb/wdb/adp/phase3_main/query?wdbo=html%2fdisplay&max_rows_returned=800&target=proxima&resolver=none&wdb_input_file=&coord_sys=eq&coord1=&coord2=&box=02%2009%2000&tab_ra=on&tab_dec=on&tab_filter=on&filter=Any&tab_wavelength=on&wavelength=Any&tab_dataproduct_type=on&dataproduct_type=Any&tel_id=Any&tab_ins_id=on&ins_id=HARPS&obstech=Any&tab_date_obs=on&date_obs=&mjd_obs=&tab_exptime=on&exptime=&multi_ob=%25&tab_collection_name=on&tab_prog_id=on&prog_id=&username=&p3orig=%25&tab_origfile=on&origfile=&tab_dp_id=on&dp_id=&rel_date=&tab_referenc=on&referenc=&batch_id=&publication_date=&wdb_input_file_raw=&order_main=dummy&

OBJECT             PROG_ID            PI-COI             DATE-OBS                  EXPTIME           ORIGFILE
------             -------            ------             --------                  -------           --------
Gl551              072.C-0488(E)      Mayor              2006-03-22T07:14:58.080   899.999100         HARPS.2006-03-22T07:14:58.081_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2006-03-18T06:35:51.930   900.000800         HARPS.2006-03-18T06:35:51.930_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2006-03-16T06:37:59.497   899.999000         HARPS.2006-03-16T06:37:59.498_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2006-03-15T09:16:35.459   900.000500         HARPS.2006-03-15T09:16:35.459_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2007-07-12T01:53:21.491   900.002200         HARPS.2007-07-12T01:53:21.492_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2007-07-19T01:12:15.736   899.998000         HARPS.2007-07-19T01:12:15.737_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2007-07-18T02:10:05.291   899.999600         HARPS.2007-07-18T02:10:05.291_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2007-03-14T07:28:29.990   899.998400         HARPS.2007-03-14T07:28:29.990_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2007-07-15T02:03:55.936   900.000200         HARPS.2007-07-15T02:03:55.937_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2008-07-11T01:21:00.910   900.000000         HARPS.2008-07-11T01:21:00.911_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2008-06-29T01:27:46.207   900.000000         HARPS.2008-06-29T01:27:46.208_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2008-07-19T00:52:20.561   900.000000         HARPS.2008-07-19T00:52:20.561_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              082.C-0718(B)      Bonfils            2009-02-23T08:52:03.518   900.000000         HARPS.2009-02-23T08:52:03.519_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2009-06-10T03:23:13.051   899.998700         HARPS.2009-06-10T03:23:13.051_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              082.C-0718(B)      Bonfils            2009-02-20T08:21:10.836   900.000000         HARPS.2009-02-20T08:21:10.837_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2009-08-14T00:46:58.675   900.000100         HARPS.2009-08-14T00:46:58.676_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              082.C-0718(B)      Bonfils            2009-02-17T07:48:05.587   900.000000         HARPS.2009-02-17T07:48:05.587_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              082.C-0718(B)      Bonfils            2009-02-16T08:36:39.872   900.000000         HARPS.2009-02-16T08:36:39.872_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              082.C-0718(B)      Bonfils            2009-02-21T08:32:14.066   900.000000         HARPS.2009-02-21T08:32:14.066_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              082.C-0718(B)      Bonfils            2009-02-19T08:50:27.879   900.000000         HARPS.2009-02-19T08:50:27.879_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2009-06-07T03:25:18.237   899.999200         HARPS.2009-06-07T03:25:18.237_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              082.C-0718(B)      Bonfils            2009-02-22T07:55:09.505   900.000000         HARPS.2009-02-22T07:55:09.505_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2009-08-10T01:12:24.882   900.000800         HARPS.2009-08-10T01:12:24.882_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              082.C-0718(B)      Bonfils            2009-02-24T08:06:54.074   900.000000         HARPS.2009-02-24T08:06:54.075_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2010-04-06T07:04:23.558   900.007300         HARPS.2010-04-06T07:04:23.558_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2010-03-20T06:19:33.039   899.999900         HARPS.2010-03-20T06:19:33.040_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2010-03-27T07:20:30.449   899.999800         HARPS.2010-03-27T07:20:30.449_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2010-03-28T06:30:14.170   899.999900         HARPS.2010-03-28T06:30:14.170_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2010-03-25T06:51:58.913   899.998400         HARPS.2010-03-25T06:51:58.914_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2010-03-23T06:47:28.038   900.006600         HARPS.2010-03-23T06:47:28.039_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2010-03-21T08:43:21.491   900.001300         HARPS.2010-03-21T08:43:21.491_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2010-03-24T06:50:40.996   900.006900         HARPS.2010-03-24T06:50:40.997_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2010-03-26T06:03:01.100   900.005400         HARPS.2010-03-26T06:03:01.100_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2010-03-22T07:10:30.003   899.999200         HARPS.2010-03-22T07:10:30.003_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2011-04-12T02:53:20.639   900.000000         HARPS.2011-04-12T02:53:20.640_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2011-04-08T06:28:17.981   900.007200         HARPS.2011-04-08T06:28:17.981_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2011-04-02T03:23:46.332   900.005800         HARPS.2011-04-02T03:23:46.332_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2011-04-05T03:26:33.419   900.006300         HARPS.2011-04-05T03:26:33.420_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2011-03-21T05:51:26.005   900.005600         HARPS.2011-03-21T05:51:26.006_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2011-03-28T07:42:21.161   900.007300         HARPS.2011-03-28T07:42:21.162_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2011-06-03T01:13:50.352   900.000600         HARPS.2011-06-03T01:13:50.353_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2011-03-24T06:48:22.469   900.006100         HARPS.2011-03-24T06:48:22.470_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2011-02-19T07:14:37.035   900.006300         HARPS.2011-02-19T07:14:37.035_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2011-03-27T05:20:09.903   900.005600         HARPS.2011-03-27T05:20:09.904_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2011-04-22T05:07:46.863   900.000400         HARPS.2011-04-22T05:07:46.863_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2011-03-25T06:02:42.090   900.007700         HARPS.2011-03-25T06:02:42.090_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              072.C-0488(E)      Mayor              2004-07-19T00:34:36.949   900.000000         HARPS.2004-07-19T00:34:36.950_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
